"metadata_tool","metadata_link"
"advanced-ip-scanner","https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox"
"AdvancedRun","https://medium.com/s2wblog/analysis-of-destructive-malware-whispergate-targeting-ukraine-9d5d158f19f3"
"Advanced-SQL-Injection-Cheatsheet","https://github.com/kleiton0x00/Advanced-SQL-Injection-Cheatsheet"
"afrog","https://github.com/zan8in/afrog"
"AggressorScripts-1","https://github.com/Cn33liz/AggressorScripts-1/tree/master/Persistence"
"AggressorScripts-1","https://github.com/Cn33liz/AggressorScripts-1"
"AhMyth-Android-RAT","https://github.com/AhMyth/AhMyth-Android-RAT"
"Airbash","https://github.com/tehw0lf/airbash"
"aircrack-ng","https://github.com/aircrack-ng/aircrack-ng"
"Airgeddon","https://github.com/v1s1t0r1sh3r3/airgeddon"
"airmon-ng","https://www.aircrack-ng.org/doku.php?id=airmon-ng"
"airpwn-ng","https://github.com/ICSec/airpwn-ng"
"Akira","https://github.com/rivitna/Malware"
"AlanFramework","https://github.com/enkomio/AlanFramework"
"Alcatraz","https://github.com/weak1337/Alcatraz"
"al-khaser","https://github.com/LordNoteworthy/al-khaser"
"Amass","https://github.com/OWASP/Amass"
"amass","https://github.com/caffix/amass"
"Amnesiac","https://github.com/Leo4j/Amnesiac"
"amsi.fail","https://amsi.fail/"
"Amsi_Bypass","https://github.com/senzee1984/Amsi_Bypass_In_2023"
"AMSI_patch","https://github.com/TheD1rkMtr/AMSI_patch"
"Amsi-Killer","https://github.com/ZeroMemoryEx/Amsi-Killer"
"AndrewSpecial","https://github.com/hoangprod/AndrewSpecial"
"Anevicon","https://github.com/rozgo/anevicon"
"anonfiles.com","https://twitter.com/mthcht/status/1660953897622544384"
"Anonymous Proxy Vpn Browser","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Antivirus Signature","N/A"
"Antivirus Signature","lsass dump malware signature"
"Antivirus Signature","https://www.trendmicro.com/content/dam/trendmicro/global/en/research/23/e/blackcat-ransomware-deploys-new-signed-kernel-driver/indicators-blackcat-ransomware-deploys-new-signed-kernel-driver.txt"
"anydesk","https://www.virustotal.com/gui/url/f83616f0f9cd2337ed40e22b0a675a99d58edf004b31645f56f28f020f5e4f46/detection"
"anydesk","https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/"
"anydesk","https://anydesk.com/"
"anymailfinder","https://anymailfinder.com"
"AoratosWin","https://github.com/PinoyWH1Z/AoratosWin"
"APCLdr","https://github.com/NUL0x4C/APCLdr"
"apkfold free vpn","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"apollon","https://github.com/codewhitesec/apollon"
"APT","N/A"
"APTSimulator","https://github.com/NextronSystems/APTSimulator"
"aquatone","https://github.com/michenriksen/aquatone"
"archerysec","https://github.com/archerysec/archerysec"
"archstrike","https://archstrike.org/"
"Ares","https://github.com/sweetsoftware/Ares"
"armitage","https://github.com/r00t0v3rr1d3/armitage"
"arpspoofing","https://github.com/luijait/arpspoofing"
"ASREPRoast","https://github.com/HarmJ0y/ASREPRoast"
"assoc","N/A"
"Astar VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Atera","N/A"
"Atera","https://thedfirreport.com/2023/09/25/from-screenconnect-to-hive-ransomware-in-61-hours/"
"AtlasC2","https://github.com/Gr1mmie/AtlasC2"
"AtlasReaper","https://github.com/werdhaihai/AtlasReaper"
"AtomLdr","https://github.com/NUL0x4C/AtomLdr"
"ATPMiniDump","https://github.com/b4rtik/ATPMiniDump"
"AttackSurfaceMapper","https://github.com/superhedgy/AttackSurfaceMapper"
"attifyos","https://github.com/adi0x90/attifyos"
"attrib","N/A"
"attrib","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Anti-Forensics.md"
"Augustus","https://github.com/TunnelGRE/Augustus"
"autobloody","https://github.com/CravateRouge/autobloody"
"AutoC2","https://github.com/assume-breach/Home-Grown-Red-Team/tree/main/AutoC2"
"autonse","https://github.com/m4ll0k/AutoNSE"
"autopwn","https://github.com/nccgroup/autopwn"
"AutoRDPwn","https://github.com/JoelGMSec/AutoRDPwn"
"AutoRecon","https://github.com/Tib3rius/AutoRecon"
"AutoSmuggle","https://github.com/surajpkhetani/AutoSmuggle"
"AutoSUID","https://github.com/IvanGlinkin/AutoSUID"
"autotimeliner","https://github.com/andreafortuna/autotimeliner"
"avet","https://github.com/govolution/avet"
"avred","https://github.com/dobin/avred"
"Awesome-Hacking","https://github.com/Hack-with-Github/Awesome-Hacking"
"Awesome-Hacking-Resources","https://github.com/vitalysim/Awesome-Hacking-Resources"
"awesome-osint","https://github.com/jivoi/awesome-osint"
"awesome-pentest","https://github.com/enaqx/awesome-pentest"
"awesome-pentest-cheat-sheets","https://github.com/coreb1t/awesome-pentest-cheat-sheets"
"awesome-scapy","https://github.com/secdev/awesome-scapy"
"awesome-static-analysis","https://github.com/codefactor-io/awesome-static-analysis"
"awesome-web-security","https://github.com/qazbnm456/awesome-web-security"
"awesome-windows-domain-hardening","https://github.com/PaulSec/awesome-windows-domain-hardening"
"AWS-Loot","https://github.com/sebastian-mora/AWS-Loot"
"Azino VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Azure-AccessPermissions","https://github.com/csandker/Azure-AccessPermissions"
"AzureAD_Autologon_Brute","https://github.com/nyxgeek/AzureAD_Autologon_Brute"
"AzureADLateralMovement","https://github.com/talmaor/AzureADLateralMovement"
"AzureC2Relay","https://github.com/Flangvik/AzureC2Relay"
"b374k","https://github.com/b374k/b374k"
"BabelStrike","https://github.com/t3l3machus/BabelStrike"
"BabyShark","https://github.com/UnkL4b/BabyShark"
"backdoor keyword","N/A"
"Backstab","https://github.com/Yaxser/Backstab"
"BackupOperatorToDA","https://github.com/mpgn/BackupOperatorToDA"
"badazure","https://github.com/mvelazc0/BadZure/"
"Bad-PDF","https://github.com/deepzec/Bad-Pdf"
"badrats","https://gitlab.com/KevinJClark/badrats"
"badtouch","https://github.com/kpcyrd/badtouch"
"BaRMIe","https://github.com/NickstaDB/BaRMIe"
"base64","N/A"
"base64","https://github.com/matterpreter/OffensiveCSharp/tree/master/MockDirUACBypass"
"bash","https://github.com/swisskyrepo/PayloadsAllTheThings/blob/master/Methodology%20and%20Resources/Reverse%20Shell%20Cheatsheet.md"
"bash","N/A"
"bash","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Linux.md"
"bash","https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_deletion_of_bash_command_line_history.toml"
"bash","https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1146/T1146.yaml"
"bash keylogger","N/A"
"bash port scan","N/A"
"Bashfuscator","https://github.com/Bashfuscator/Bashfuscator"
"bashupload.com","https://twitter.com/mthcht/status/1660953897622544384"
"bcdedit","N/A"
"beef","https://github.com/beefproject/beef"
"BeeLogger","https://github.com/4w4k3/BeeLogger"
"BelkaVPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"BeRoot","https://github.com/AlessandroZ/BeRoot"
"BesoToken","https://github.com/OmriBaso/BesoToken"
"Best VPN USA","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"BetterBackdoor","https://github.com/thatcherclough/BetterBackdoor"
"bettercap","https://github.com/bettercap/bettercap"
"betterdefaultpasslist","https://github.com/govolution/betterdefaultpasslist"
"binwalk","https://github.com/ReFirmLabs/binwalk"
"bitb","https://github.com/mrd0x/BITB"
"bitsadmin","N/A"
"bittorent","https[://]www[.]bittorrent.com/fr/"
"Biu-framework","https://awesomeopensource.com/project/0xbug/Biu-framework"
"blackcat ransomware","https://www.sentinelone.com/labs/blackcat-ransomware-highly-configurable-rust-driven-raas-on-the-prowl-for-victims/"
"Blackout","https://github.com/ZeroMemoryEx/Blackout"
"BlazeStealer","https://medium.com/checkmarx-security/python-obfuscation-traps-1acced941375"
"BlockEtw","https://github.com/Soledge/BlockEtw"
"BlockOpenHandle","https://github.com/TheD1rkMtr/BlockOpenHandle"
"BlockWindows","https://github.com/WindowsLies/BlockWindows"
"bloodhound","https://github.com/fox-it/BloodHound.py"
"bloodhound","https://github.com/BloodHoundAD/BloodHound/tree/master/Collectors"
"BloodHound","https://github.com/BloodHoundAD/BloodHound"
"BloodHound.py","https://github.com/fox-it/BloodHound.py"
"bloodhound-quickwin","https://github.com/kaluche/bloodhound-quickwin"
"bloodyAD","https://github.com/CravateRouge/bloodyAD"
"BOF.NET","https://github.com/CCob/BOF.NET"
"bof-collection","https://github.com/cube0x0/MiniDump"
"bof-collection","https://github.com/crypt0p3g/bof-collection"
"bofhound","https://github.com/fortalice/bofhound"
"BOFMask","https://github.com/passthehashbrowns/BOFMask"
"BOINC","https://cyberint.com/wp-content/uploads/2022/02/Mars-Stealer-7.png.webp"
"boko","https://github.com/bashexplode/boko"
"bootkit-rs","https://github.com/memN0ps/bootkit-rs"
"bropper","https://github.com/Hakumarachi/Bropper"
"Browsec VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Browser VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Browser-C2","https://github.com/0x09AL/Browser-C2"
"Browser-password-stealer","https://github.com/henry-richard7/Browser-password-stealer"
"BrowsingHistoryView","https://www.nirsoft.net/utils/browsing_history_view.html"
"bruteratel","https://bruteratel.com/"
"BruteSploit","https://github.com/screetsec/Vegile"
"BruteSploit","https://github.com/screetsec/Microsploit"
"BruteSploit","https://github.com/screetsec/BruteSploit"
"brutespray","https://github.com/x90skysn3k/brutespray"
"BruteX","https://github.com/1N3/BruteX"
"BucketLoot","https://github.com/redhuntlabs/BucketLoot"
"bulletpassview","https://www.nirsoft.net/utils/bullets_password_view.html"
"BullVPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"burpsuite","https://github.com/signorrayan/RedTeam_toolkit"
"burpsuite","https://github.com/nccgroup/BurpSuiteHTTPSmuggler"
"burpsuite","https://portswigger.net/burp"
"burpsuite","https://portswigger.net/"
"burpsuite","https://github.com/Mr-xn/BurpSuite-collections"
"burpsuite","https://github.com/infodel/burp.extension-payloadparser"
"burpsuite","https://github.com/attackercan/burp-xss-sql-plugin"
"burpsuite","https://github.com/laconicwolf/burp-extensions"
"burpsuite","https://github.com/JGillam/burp-co2"
"byob","https://github.com/malwaredllc/byob"
"BYOVD_kill_av_edr","https://github.com/infosecn1nja/red-team-scripts/blob/main/BYOVD_kill_av_edr.c"
"BypassCredGuard","https://github.com/wh0amitz/BypassCredGuard"
"bypasswaf","https://github.com/codewatchorg/bypasswaf"
"C2 related tools","https://github.com/mgeeky/ShellcodeFluctuation"
"C2 related tools","https://github.com/mgeeky/ThreadStackSpoofer"
"C2 related tools","https://github.com/Rvn0xsy/Cooolis-ms"
"C2 related tools","https://github.com/med0x2e/SigFlip"
"C2 related tools","https://github.com/aeverj/NimShellCodeLoader"
"C2 related tools","https://github.com/bitsadmin/nopowershell"
"C2 related tools","https://github.com/Ed1s0nZ/cool"
"C2_Server","https://github.com/reveng007/C2_Server"
"C2concealer","https://github.com/RedSiege/C2concealer"
"C2-Tool-Collection","https://github.com/outflanknl/C2-Tool-Collection"
"CACTUSTORCH","https://github.com/mdsecactivebreach/CACTUSTORCH"
"Cain&Abel","https://github.com/undergroundwires/CEH-in-bullet-points/blob/master/chapters/08-sniffing/sniffing-tools.md"
"CandyPotato","https://github.com/klezVirus/CandyPotato"
"CarbonCopy","https://github.com/paranoidninja/CarbonCopy"
"cat","N/A"
"cat","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Linux.md"
"catphish","https://github.com/ring0lab/catphish"
"catspin","https://github.com/rootcathacking/catspin"
"cdn-proxy","https://github.com/RyanJarv/cdn-proxy"
"celerystalk","https://github.com/sethsec/celerystalk"
"cerbrutus","https://github.com/Cerbrutus-BruteForcer/cerbrutus"
"Certipy","https://github.com/ly4k/Certipy"
"CertStealer","https://github.com/TheWover/CertStealer"
"certsync","https://github.com/zblurx/certsync"
"changeme","https://github.com/ztgrace/changeme"
"chaos","https://github.com/tiagorlampert/CHAOS"
"chaos","https://blog.qualys.com/vulnerabilities-threat-research/2022/01/17/the-chaos-ransomware-can-be-ravaging"
"charles-proxy","https://charlesproxy.com/"
"charlotte","https://github.com/9emin1/charlotte"
"chattr","N/A"
"chcp","https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/"
"CheckPlease","https://github.com/Arvanaghi/CheckPlease"
"CheeseTools","https://github.com/klezVirus/CheeseTools"
"cheetah","https://github.com/shmilylty/cheetah"
"chimera","https://github.com/tokyoneon/Chimera/"
"Chimera","https://github.com/georgesotiriadis/Chimera"
"chisel","https://github.com/jpillora/chisel"
"ChkNull","https://github.com/nyxgeek/classic_hacking_tools"
"chromedump","https://github.com/g4l4drim/ChromeDump"
"chromepass","https://www.nirsoft.net/utils/chromepass.html"
"chromium","https://www.splunk.com/en_us/blog/security/mockbin-and-the-art-of-deception-tracing-adversaries-going-headless-and-mocking-apis.html"
"chromium","https://www.mandiant.com/resources/blog/lnk-between-browsers"
"chromium","https://redcanary.com/blog/intelligence-insights-june-2023/"
"CIMplant","https://github.com/RedSiege/CIMplant"
"cirt-fuzzer","https://www.ecrimelabs.com/"
"cloakify","https://github.com/TryCatchHCF/Cloakify"
"CloakNDaggerC2","https://github.com/matt-culbert/CloakNDaggerC2"
"Cloud VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"cloud_enum","https://github.com/initstring/cloud_enum"
"cloudflared","https://github.com/cloudflare/cloudflared"
"cloudsploit","https://github.com/aquasecurity/cloudsploit"
"CmdLineSpoofer","https://github.com/plackyhacker/CmdLineSpoofer"
"CMLoot","https://github.com/1njected/CMLoot"
"CMSeek","https://github.com/Tuhinshubhra/CMSeek"
"cobaltstrike","https://github.com/outflanknl/Recon-AD"
"cobaltstrike","https://github.com/outflanknl/InlineWhispers"
"cobaltstrike","https://github.com/outflanknl/Spray-AD"
"cobaltstrike","https://github.com/p292/Phant0m_cobaltstrike"
"cobaltstrike","https://github.com/outflanknl/WdToggle"
"cobaltstrike","https://github.com/outflanknl/FindObjects-BOF"
"cobaltstrike","https://github.com/optiv/Dent"
"cobaltstrike","https://github.com/OneHone/C--Shellcode"
"cobaltstrike","https://github.com/optiv/Registry-Recon"
"cobaltstrike","https://github.com/outflanknl/Dumpert/tree/master/Dumpert-Aggressor"
"cobaltstrike","https://github.com/optiv/ScareCrow"
"cobaltstrike","https://github.com/praetorian-inc/PortBender"
"cobaltstrike","https://github.com/RiccardoAncarani/BOFs"
"cobaltstrike","https://github.com/realoriginal/beacon-object-file"
"cobaltstrike","https://github.com/RiccardoAncarani/LiquidSnake"
"cobaltstrike","https://github.com/rkervella/CarbonMonoxide"
"cobaltstrike","https://github.com/RiccardoAncarani/TaskShell"
"cobaltstrike","https://github.com/RCStep/CSSG"
"cobaltstrike","https://github.com/pwn1sher/CS-BOFs"
"cobaltstrike","https://github.com/pureqh/bypassAV"
"cobaltstrike","https://github.com/RalfHacker/Kerbeus-BOF"
"cobaltstrike","https://github.com/rasta-mouse/TikiTorch"
"cobaltstrike","https://github.com/rasta-mouse/PPEnum"
"cobaltstrike","https://github.com/netero1010/RDPHijack-BOF"
"cobaltstrike","https://github.com/netero1010/Quser-BOF"
"cobaltstrike","https://github.com/netero1010/ServiceMove-BOF"
"cobaltstrike","https://github.com/nettitude/RunOF"
"cobaltstrike","https://github.com/netero1010/TrustedPath-UACBypass-BOF"
"cobaltstrike","https://github.com/nccgroup/nccfsas/"
"cobaltstrike","https://github.com/mlcsec/ASRenum-BOF"
"cobaltstrike","https://github.com/mgeeky/RedWarden"
"cobaltstrike","https://github.com/Mr-Un1k0d3r/Cookie-Graber-BOF"
"cobaltstrike","https://github.com/nccgroup/nccfsas"
"cobaltstrike","https://github.com/Mr-Un1k0d3r/SCShell"
"cobaltstrike","https://github.com/nick-frischkorn/TokenStripBOF"
"cobaltstrike","https://github.com/OG-Sadpanda/SharpCat"
"cobaltstrike","https://github.com/OG-Sadpanda/SharpCalendar"
"cobaltstrike","https://github.com/OG-Sadpanda/SharpExcelibur"
"cobaltstrike","https://github.com/OG-Sadpanda/SharpZippo"
"cobaltstrike","https://github.com/OG-Sadpanda/SharpSword"
"cobaltstrike","https://github.com/offsecginger/AggressorScripts"
"cobaltstrike","https://github.com/obscuritylabs/RAI"
"cobaltstrike","https://github.com/NtQuerySystemInformation/CustomKeyboardLayoutPersistence"
"cobaltstrike","https://github.com/Octoberfest7/EventViewerUAC_BOF"
"cobaltstrike","https://github.com/Octoberfest7/KillDefender_BOF"
"cobaltstrike","https://github.com/Octoberfest7/KDStab"
"cobaltstrike","https://github.com/uknowsec/TailorScan"
"cobaltstrike","https://github.com/Tylous/SourcePoint"
"cobaltstrike","https://github.com/Unknow101/FuckThatPacker"
"cobaltstrike","https://github.com/wahyuhadi/beacon-c2-go"
"cobaltstrike","https://github.com/vysecurity/ANGRYPUPPY"
"cobaltstrike","https://github.com/Tycx2ry/SweetPotato_CS"
"cobaltstrike","https://github.com/trustedsec/CS-Remote-OPs-BOF"
"cobaltstrike","https://github.com/trustedsec/COFFLoader"
"cobaltstrike","https://github.com/trustedsec/CS-Situational-Awareness-BOF"
"cobaltstrike","https://github.com/trustedsec/PPLFaultDumpBOF"
"cobaltstrike","https://github.com/trustedsec/ELFLoader"
"cobaltstrike","https://github.com/WKL-Sec/HiddenDesktop"
"cobaltstrike","https://github.com/YDHCUI/csload.net"
"cobaltstrike","https://github.com/Yaxser/COFFLoader2"
"cobaltstrike","https://github.com/YDHCUI/manjusaka"
"cobaltstrike","https://www.cobaltstrike.com/"
"cobaltstrike","https://github.com/zha0gongz1/DesertFox"
"cobaltstrike","https://github.com/Yaxser/CobaltStrike-BOF"
"cobaltstrike","https://github.com/wumb0/rust_bof"
"cobaltstrike","https://github.com/WKL-Sec/Winsocky"
"cobaltstrike","https://github.com/xforcered/CredBandit"
"cobaltstrike","https://github.com/yanghaoi/CobaltStrike_CNA"
"cobaltstrike","https://github.com/xforcered/Detect-Hooks"
"cobaltstrike","https://github.com/S3cur3Th1sSh1t/Sharp-HackBrowserData"
"cobaltstrike","https://github.com/rxwx/cs-rdll-ipc-example"
"cobaltstrike","https://github.com/securifybv/Visual-Studio-BOF-template"
"cobaltstrike","https://github.com/Sh0ckFR/InlineWhispers2"
"cobaltstrike","https://github.com/seventeenman/CallBackDump"
"cobaltstrike","https://github.com/rvrsh3ll/BOF_Collection"
"cobaltstrike","https://github.com/rsmudge/ElevateKit"
"cobaltstrike","https://github.com/rookuu/BOFs"
"cobaltstrike","https://github.com/rsmudge/Malleable-C2-Profiles"
"cobaltstrike","https://github.com/rsmudge/ZeroLogon-BOF"
"cobaltstrike","https://github.com/rsmudge/unhook-bof"
"cobaltstrike","https://github.com/SpiderLabs/SharpCompile"
"cobaltstrike","https://github.com/timwhitez/Doge-Loader"
"cobaltstrike","https://github.com/tijme/kernel-mii"
"cobaltstrike","https://github.com/tomcarver16/BOF-DLL-Inject"
"cobaltstrike","https://github.com/trainr3kt/Readfile_BoF"
"cobaltstrike","https://github.com/trainr3kt/MemReader_BoF"
"cobaltstrike","https://github.com/threatexpress/red-team-scripts"
"cobaltstrike","https://github.com/tevora-threat/PowerView3-Aggressor"
"cobaltstrike","https://github.com/tevora-threat/aggressor-powerview"
"cobaltstrike","https://github.com/threatexpress/cs2modrewrite"
"cobaltstrike","https://github.com/threatexpress/random_c2_profile"
"cobaltstrike","https://github.com/threatexpress/malleable-c2"
"cobaltstrike","https://github.com/mez-0/winrmdll"
"cobaltstrike","https://github.com/byt3bl33d3r/BOF-Nim"
"cobaltstrike","https://github.com/BronzeTicket/ClipboardWindow-Inject"
"cobaltstrike","https://github.com/C0axx/AggressorScripts"
"cobaltstrike","https://github.com/ceramicskate0/BOF-Builder"
"cobaltstrike","https://github.com/CCob/BOF.NET"
"cobaltstrike","https://github.com/boku7/xPipe"
"cobaltstrike","https://github.com/boku7/injectAmsiBypass"
"cobaltstrike","https://github.com/boku7/HOLLOW"
"cobaltstrike","https://github.com/boku7/injectEtwBypass"
"cobaltstrike","https://github.com/boku7/whereami"
"cobaltstrike","https://github.com/boku7/spawn"
"cobaltstrike","https://github.com/Cobalt-Strike/beacon_health_check"
"cobaltstrike","https://github.com/CrossC2/CrossC2Kit"
"cobaltstrike","https://github.com/crisprss/PrintSpoofer"
"cobaltstrike","https://github.com/crypt0p3g/bof-collection"
"cobaltstrike","https://github.com/DallasFR/Cobalt-Clip"
"cobaltstrike","https://github.com/cube0x0/LdapSignCheck"
"cobaltstrike","https://github.com/cribdragg3r/Alaris"
"cobaltstrike","https://github.com/Cobalt-Strike/unhook-bof"
"cobaltstrike","https://github.com/Cobalt-Strike/sleep_python_bridge"
"cobaltstrike","https://github.com/CodeXTF2/Burp2Malleable"
"cobaltstrike","https://github.com/Cracked5pider/CoffeeLdr"
"cobaltstrike","https://github.com/connormcgarr/tgtdelegation"
"cobaltstrike","https://github.com/1135/1135-CobaltStrike-ToolKit"
"cobaltstrike","https://github.com/0xthirteen/StayKit"
"cobaltstrike","https://github.com/Adminisme/ServerScan"
"cobaltstrike","https://github.com/ajpc500/BOFs"
"cobaltstrike","https://github.com/airbus-cert/Invoke-Bof"
"cobaltstrike","https://github.com/0xthirteen/MoveKit"
"cobaltstrike","https://gist.github.com/G0ldenGunSec/8ca0e853dd5637af2881697f8de6aecc"
"cobaltstrike","https://bohops.com/2021/03/16/investigating-net-clr-usage-log-tampering-techniques-for-edr-evasion/"
"cobaltstrike","https://github.com//EspressoCake/HandleKatz_BOF"
"Cobaltstrike","https://github.com/0xEr3bus/PoolPartyBof"
"cobaltstrike","https://github.com/0x3rhy/AddUser-Bof"
"cobaltstrike","https://github.com/alfarom256/BOF-ForeignLsass"
"cobaltstrike","https://github.com/Axx8/ShellCode_Loader"
"cobaltstrike","https://github.com/ausecwa/bof-registry"
"cobaltstrike","https://github.com/BC-SECURITY/Malleable-C2-Profiles"
"cobaltstrike","https://github.com/boku7/BokuLoader"
"cobaltstrike","https://github.com/bluscreenofjeff/Malleable-C2-Randomizer"
"cobaltstrike","https://github.com/AttackTeamFamily/cobaltstrike-bof-toolset"
"cobaltstrike","https://github.com/anthemtotheego/Detect-Hooks"
"cobaltstrike","https://github.com/AlphabugX/csOnvps"
"cobaltstrike","https://github.com/anthemtotheego/InlineExecute-Assembly"
"cobaltstrike","https://github.com/apokryptein/secinject"
"cobaltstrike","https://github.com/anthemtotheego/SharpCradle"
"cobaltstrike","https://github.com/hack2fun/BypassAV"
"cobaltstrike","https://github.com/guervild/BOFs"
"cobaltstrike","https://github.com/Hangingsword/HouQing"
"cobaltstrike","https://github.com/IcebreakerSecurity/DelegationBOF"
"cobaltstrike","https://github.com/Henkru/cs-token-vault"
"cobaltstrike","https://github.com/gloxec/CrossC2"
"cobaltstrike","https://github.com/G0ldenGunSec/GetWebDAVStatus"
"cobaltstrike","https://github.com/FunnyWolf/pystinger"
"cobaltstrike","https://github.com/Gality369/CS-Loader"
"cobaltstrike","https://github.com/GhostPack/Koh"
"cobaltstrike","https://github.com/GeorgePatsias/ScareCrow-CobaltStrike"
